Record,Method,Datasets,Regime,Parameter space,Training,Label access,Selection objective,Gap
R01,official_X-shift,Levine_13dim;Levine_32dim;Samusik_01;Nilsson_rare;Mosmann_rare,main_no_label_fixed,K=20 fixed,all events,labels excluded from clustering; posthoc evaluation only,none; fixed before evaluation,Historical fixed endpoint; current five-dataset K=20 ×30 native repeats are R22–R26
R02,official_X-shift,Nilsson_rare,main_no_label_fixed,K=60 fixed replay of published GUI-elbow anchor,all events,published anchor did not use current evaluation labels,none in replay; historical GUI elbow provenance,not a full reproduction of the historical GUI selection workflow
R03,official_X-shift,Nilsson_rare,internal_no_label_selection,"K=150,145,...,5; command-line automatic elbow",all events,labels excluded from scan and elbow; evaluation posthoc,elbow of K-versus-output-cluster-count curve,only one dataset; objective and candidate semantics differ from FlowSOM
R04,FlowSOM_Python_R,Levine_32dim;Samusik_01,main_no_label_fixed,10x10 SOM; rlen=30; K=40,"same frozen unlabeled 20,000-event sample per dataset; map all events",labels excluded from training and K definition; posthoc evaluation,none; fixed before evaluation,fixed K=40 is deployable but is not an internally selected optimum
R05,FlowSOM_Python_R,Levine_32dim;Samusik_01,factorial_sensitivity_not_selected,"grid={10x10,15x15,20x20} x rlen={10,20,30}; K=40","same frozen unlabeled 20,000-event sample per dataset; map all events",labels excluded from fitting; external endpoints not used to select a winner,none; factorial contrasts and Pareto description only,"five seeds are parameter exploration, not the common 30-run stability budget"
R06,FlowSOM_Python_R,Levine_32dim;Samusik_01;Nilsson_rare;Mosmann_rare,internal_no_label_selection,official automatic MetaClustering max=40,"frozen unlabeled 20,000-event samples; map all events",labels excluded from selection; posthoc evaluation only,FlowSOM DetermineNumberOfClusters smoothed WSS two-line elbow,max=40 and WSS-elbow are not budget/objective matched to X-shift
R07,FlowSOM_Python_R,Levine_32dim;Samusik_01;Nilsson_rare;Mosmann_rare,ktrue_sensitivity,"K=true (14,24,2,2 by dataset)","frozen unlabeled 20,000-event samples; map all events",reference class count used to define K; labels excluded from fit,none,label-informed and prohibited from main comparison
R08,FlowSOM_Python_R,Nilsson_rare;Mosmann_rare,main_no_label_fixed,K=10 and K=40 fixed; neither selected posthoc,"same frozen unlabeled 20,000-event sample per dataset; map all events",labels excluded from K definition and fit; posthoc evaluation,none; two prespecified sensitivity settings,two settings are retained separately; no rule selects one deployable main setting
R09,Sony_BL-FlowSOM,Levine_13dim,ktrue_sensitivity,100 SOM nodes; meta K=true=24,"all 167,044 events",reference class count used to define K; labels excluded from SOM fit,none,Historical K=true sensitivity; see R20–R21 for unlabeled fixed/automatic regimes; no cloud equivalence
R10,sklearn_GMM,Levine_32dim;Samusik_01,main_no_label_fixed,K=40; n_init=1; max_iter=500,"frozen unlabeled 20,000-event sample; predict all events",labels excluded from fit and K definition; posthoc evaluation,none; fixed before evaluation,one fixed component count is not an internally selected regime
R11,sklearn_GMM,Nilsson_rare;Mosmann_rare,main_no_label_fixed,"K={10,40}; n_init=1; max_iter=500","same frozen unlabeled 20,000-event sample as FlowSOM; predict all events",labels excluded from K definition and fit; posthoc evaluation,none; both prespecified settings retained,no internal rule selects between K=10 and K=40
R12,sklearn_GMM,Nilsson_rare;Mosmann_rare,ktrue_sensitivity,K=true=2; n_init=1; max_iter=500,"same frozen unlabeled 20,000-event sample as FlowSOM; predict all events",reference class count used to define K; labels excluded from fit,none,label-informed and prohibited from main comparison
R13,PhenoGraph_Louvain,Levine_32dim;Samusik_01,main_no_label_fixed,"k=15; fixed 20,000-event Jaccard graph","fixed unlabeled 20,000-event graph; evaluation on graph events",labels excluded from graph and clustering; posthoc evaluation,none; fixed before evaluation,Historical 20k graph; current all-event default-Louvain repeats are R28; no controlled seed
R14,PhenoGraph_Louvain,Nilsson_rare;Mosmann_rare,main_no_label_fixed,default k=30; full-event frozen Jaccard graph,all events,labels excluded from graph and clustering; posthoc evaluation,none; package default,k differs from the prespecified multi-population k=15 regime
R15,PhenoGraph_Louvain,Levine_13dim,label_selected_upper_bound,"k={15,20,30,45,60}; one native run per k",all events,ARI used after running candidates to identify historical-style best k,maximize external ARI,label-selected and only one stochastic repeat per candidate
R16,PhenoGraph_graph_Leiden,Levine_32dim;Samusik_01,main_no_label_fixed,"k=15; resolution=1; n_iterations=-1; fixed 20,000-event graph","fixed unlabeled 20,000-event graph; evaluation on graph events",labels excluded from graph and clustering; posthoc evaluation,none; fixed before evaluation,experimental Leiden path is distinct from default PhenoGraph Louvain
R17,sklearn_KMeans,Nilsson_rare;Mosmann_rare,main_no_label_fixed,"K={10,40}; n_init=1; max_iter=300",all events,labels excluded from K definition and fit; posthoc evaluation,none; both prespecified settings retained,no internal rule selects between K=10 and K=40
R18,sklearn_KMeans,Levine_32dim;Samusik_01;Nilsson_rare;Mosmann_rare,ktrue_sensitivity,"K=true (14,24,2,2 by dataset)",all events,reference class count used to define K; labels excluded from fit,none,no internal-selection regime
R19,official_Deterministic-SPADE,Nilsson_rare,main_no_label_fixed,official Deterministic-SPADE; K=40,"all 44,140 events; two accepted full-pipeline attempts",labels excluded from fit and K selection; target matched post hoc,none; K fixed before evaluation,EXP-044-R4: validated Nilsson endpoint only; two partitions identical; no five-dataset comparison
R20,Sony_BL-FlowSOM,Levine_13dim,main_no_label_fixed,"100 Sony SOM nodes; K={10,40} fixed","all 167,044 events",labels excluded from K definition and metaclustering; posthoc evaluation,none; both settings retained,one dataset; two parent repeats are exact duplicates and not a stochastic distribution
R21,Sony_BL-FlowSOM,Levine_13dim,internal_no_label_selection,100 Sony SOM nodes; official automatic max=40,"all 167,044 events",labels excluded from selection/metaclustering; posthoc evaluation,FlowSOM DetermineNumberOfClusters smoothed WSS two-line elbow,one dataset; candidate objective remains method-specific
R22,official_X-shift,Nilsson_rare,main_no_label_fixed,K=20 fixed; 30 independent Java-process native repeats,"all 44,140 events in every repeat",labels excluded from clustering; posthoc evaluation only,none; fixed before evaluation,"EXP-042-R1 completed the five-dataset K=20 native-repeat set; 30 empirical repeats per dataset, no controlled seed interface"
R23,official_X-shift,Samusik_01,main_no_label_fixed,K=20 fixed; 30 independent Java-process native repeats,"all 86,864 events in every repeat","labels excluded from clustering; 53,173 labeled events used posthoc only",none; fixed before evaluation,"EXP-042-R1 completed the five-dataset K=20 native-repeat set; 30 empirical repeats per dataset, no controlled seed interface"
